mean_test_score,rank_test_score,param_regressor__learning_rate,param_regressor__min_samples_leaf,param_regressor__min_samples_split,param_regressor__n_estimators,param_regressor__subsample
-0.9469900377891565,1,0.01,1,0.1,150,0.2
-0.9550521631711124,2,0.01,1,0.1,300,0.2
-0.9557587024984316,3,0.01,1,0.1,100,0.2
-0.9567571622949803,4,0.01,2,0.1,150,0.2
-0.9610436390759363,5,0.01,2,0.1,100,0.2
-0.9637276999539871,6,0.01,5,0.1,150,0.2
-0.9660712554727675,7,0.1,5,0.1,300,0.8
-0.9670312941789916,8,0.1,5,0.1,150,0.8
-0.9681708486377282,9,0.01,2,0.1,150,0.4
-0.969123065373461,10,0.01,5,0.1,100,0.2
-0.9697119284753297,11,0.01,10,0.1,300,0.4
-0.9697119284753297,11,0.01,10,0.3,300,0.4
-0.9697997361150978,13,0.1,5,0.1,100,0.8
-0.9716600566415183,14,0.01,2,0.1,100,0.4
-0.9735691398344921,15,0.1,5,0.3,300,0.8
-0.9738336955136214,16,0.01,2,0.1,100,0.6
-0.9746959107346111,17,0.01,1,0.3,100,0.4
-0.9750619084097796,18,0.01,1,0.3,150,0.4
-0.975130702513218,19,0.01,5,0.3,150,0.4
-0.975565730435948,20,0.01,2,0.3,100,0.4
-0.9756109624986337,21,0.01,1,0.1,100,0.6
-0.975630660972279,22,0.5,1,1.0,300,0.2
-0.975630660972279,22,0.5,2,0.6,300,0.2
-0.975630660972279,22,0.5,10,0.6,300,0.2
-0.975630660972279,22,0.5,1,0.6,300,0.2
-0.975630660972279,22,0.5,10,0.3,300,0.2
-0.975630660972279,22,0.5,2,1.0,300,0.2
-0.975630660972279,22,0.5,5,1.0,300,0.2
-0.975630660972279,22,0.5,2,0.3,300,0.2
-0.975630660972279,22,0.5,10,0.1,300,0.2
-0.975630660972279,22,0.5,10,1.0,300,0.2
-0.975630660972279,22,0.5,1,0.3,300,0.2
-0.975630660972279,22,0.5,5,0.3,300,0.2
-0.975630660972279,22,0.5,5,0.6,300,0.2
-0.9762307629154332,35,0.1,5,0.3,150,0.8
-0.9762453823154607,36,0.01,2,0.3,150,0.4
-0.976338896670071,37,0.01,1,0.1,150,0.4
-0.9765504911596409,38,0.01,5,0.3,150,0.6
-0.9774237123278045,39,0.01,1,0.1,100,0.4
-0.977820591457594,40,1.0,5,1.0,300,0.2
-0.977820591457594,40,1.0,2,0.3,300,0.2
-0.977820591457594,40,1.0,5,0.3,300,0.2
-0.977820591457594,40,1.0,1,1.0,300,0.2
-0.977820591457594,40,1.0,1,0.6,300,0.2
-0.977820591457594,40,1.0,2,1.0,300,0.2
-0.977820591457594,40,1.0,2,0.6,300,0.2
-0.977820591457594,40,1.0,10,0.3,300,0.2
-0.977820591457594,40,1.0,5,0.6,300,0.2
-0.977820591457594,40,1.0,1,0.3,300,0.2
-0.977820591457594,40,1.0,10,0.1,300,0.2
-0.977820591457594,40,1.0,10,1.0,300,0.2
-0.977820591457594,40,1.0,10,0.6,300,0.2
-0.9780627672327371,53,0.01,2,0.1,300,0.2
-0.9781095974075283,54,0.01,5,0.1,300,0.2
-0.9786616092293686,55,0.01,1,0.3,100,0.6
-0.9787009920566276,56,0.01,5,0.1,50,0.8
-0.9788565799119612,57,0.01,5,0.3,100,0.6
-0.9790849249113137,58,0.01,5,0.3,100,0.4
-0.9792766036202265,59,0.01,2,0.1,150,0.6
-0.979534401782149,60,0.01,1,0.1,50,0.8
-0.9796526148557229,61,0.01,5,0.1,100,0.8
-0.9798130707495272,62,0.01,5,0.1,100,0.4
-0.9801735196557407,63,0.01,2,0.3,100,0.6
-0.9803394778594914,64,0.01,5,0.1,150,0.4
-0.9806717795826309,65,0.01,1,0.1,50,0.2
-0.9807863059081559,66,0.001,1,0.1,300,0.4
-0.9808547497228469,67,0.01,10,0.3,150,0.4
-0.9808547497228469,67,0.01,10,0.1,150,0.4
-0.980900157494976,69,0.01,5,0.1,50,0.6
-0.9810025754231168,70,0.1,5,0.1,50,0.8
-0.9811746552698409,71,0.01,5,0.3,300,0.4
-0.9812557408729659,72,0.01,2,0.1,50,0.2
-0.9812596133716311,73,0.01,10,0.1,100,0.4
-0.9812596133716311,73,0.01,10,0.3,100,0.4
-0.9813448627976197,75,0.001,1,0.1,300,0.6
-0.9813766375465139,76,0.01,1,0.1,50,0.6
-0.9816519393317507,77,0.01,2,0.1,50,0.8
-0.982012155895877,78,0.01,5,0.3,50,0.6
-0.9821176790224108,79,0.001,2,0.1,300,0.4
-0.9823340865465223,80,0.01,5,0.1,100,0.6
-0.9823428456651234,81,0.01,2,0.1,50,0.6
-0.9825681363937605,82,0.01,5,0.1,150,0.8
-0.9826391039968563,83,0.001,5,0.1,300,0.6
-0.9827106711420678,84,0.001,2,0.1,300,0.6
-0.9827569554652644,85,0.001,1,0.1,300,0.8
-0.9827736743432407,86,0.001,2,0.1,300,0.8
-0.9830749346240287,87,0.01,1,0.3,100,0.8
-0.9832250745304714,88,0.01,2,0.1,300,0.4
-0.983488082179741,89,0.01,1,0.3,50,0.8
-0.983649465474479,90,0.001,1,0.3,300,0.6
-0.9838342354899913,91,0.01,1,0.1,100,0.8
-0.9840024128751008,92,0.01,2,0.3,50,0.6
-0.9841470498909823,93,0.01,2,0.3,100,0.8
-0.9842596161910901,94,0.001,2,0.3,300,0.6
-0.9844255045068191,95,0.001,5,0.1,300,0.4
-0.9846752270508515,96,0.01,2,0.1,50,0.4
-0.9848443391342855,97,0.01,5,0.1,150,0.6
-0.9849675419879693,98,0.01,2,0.6,100,0.8
-0.9850308483937311,99,0.01,2,0.3,50,0.8
-0.9850619004736443,100,0.01,5,0.3,50,0.8
-0.9851545527434975,101,0.01,1,0.1,150,0.6
-0.9852725751378859,102,0.01,2,0.1,100,0.8
-0.9853396350933699,103,0.01,1,0.3,50,0.6
