mean_test_score,rank_test_score,param_regressor__metric,param_regressor__n_neighbors,param_regressor__weights
-0.9687718159862471,1,euclidean,30,distance
-0.9710389362716219,2,cosine,30,distance
-0.9775982820283335,3,euclidean,30,uniform
-0.991221003237284,4,cosine,15,uniform
-0.9930325969730666,5,cosine,15,distance
-0.9969158135118515,6,cosine,30,uniform
-1.0111830491772225,7,cosine,10,uniform
-1.0174701442781442,8,cosine,10,distance
-1.0191943883346402,9,euclidean,15,distance
-1.0291123846251222,10,euclidean,10,distance
-1.0348122896056788,11,euclidean,15,uniform
-1.0400651516855557,12,euclidean,10,uniform
-1.0958351448819443,13,cosine,4,uniform
-1.1114860020199755,14,euclidean,4,distance
-1.116210594652778,15,euclidean,4,uniform
-1.1189538915752002,16,cosine,4,distance
